ImageID,detectorType,descriptorType,numMatchedKpts,cameraTTC
18,FAST,SIFT,209,10.163
0,FAST,AKAZE,-,-
1,FAST,AKAZE,-,-
2,FAST,AKAZE,-,-
3,FAST,AKAZE,-,-
4,FAST,AKAZE,-,-
5,FAST,AKAZE,-,-
6,FAST,AKAZE,-,-
7,FAST,AKAZE,-,-
8,FAST,AKAZE,-,-
9,FAST,AKAZE,-,-
10,FAST,AKAZE,-,-
11,FAST,AKAZE,-,-
12,FAST,AKAZE,-,-
13,FAST,AKAZE,-,-
14,FAST,AKAZE,-,-
15,FAST,AKAZE,-,-
16,FAST,AKAZE,-,-
17,FAST,AKAZE,-,-
18,FAST,AKAZE,-,-
1,BRISK,BRISK,164,11.9432
2,BRISK,BRISK,211,21.5109
3,BRISK,BRISK,222,15.1946
4,BRISK,BRISK,178,15.5708
5,BRISK,BRISK,170,24.9969
6,BRISK,BRISK,191,15.3779
7,BRISK,BRISK,220,15.8956
8,BRISK,BRISK,191,17.7795
9,BRISK,BRISK,227,14.9059
10,BRISK,BRISK,220,11.8545
11,BRISK,BRISK,223,11.8751
12,BRISK,BRISK,255,11.3197
13,BRISK,BRISK,255,12.6713
14,BRISK,BRISK,230,11.3519
15,BRISK,BRISK,266,12.6454
16,BRISK,BRISK,223,10.8042
17,BRISK,BRISK,243,10.1374
18,BRISK,BRISK,277,12.3396
0,BRISK,BRIEF,-,-
1,BRISK,BRIEF,165,12.6465
2,BRISK,BRIEF,184,13.01
3,BRISK,BRIEF,230,14.1836
4,BRISK,BRIEF,189,14.7771
5,BRISK,BRIEF,185,12.8928
6,BRISK,BRIEF,220,14.1662
7,BRISK,BRIEF,244,13.2592
8,BRISK,BRIEF,207,15.6792
9,BRISK,BRIEF,240,15.502
10,BRISK,BRIEF,209,11.4565
11,BRISK,BRIEF,171,12.655
12,BRISK,BRIEF,232,13.1135
13,BRISK,BRIEF,236,13.4894
14,BRISK,BRIEF,237,10.4694
15,BRISK,BRIEF,250,11.2997
16,BRISK,BRIEF,268,11.4913
17,BRISK,BRIEF,247,8.64688
18,BRISK,BRIEF,246,9.96395
1,BRISK,ORB,112,13.1921
2,BRISK,ORB,125,21.4894
3,BRISK,ORB,141,15.5958
4,BRISK,ORB,123,14.5646
5,BRISK,ORB,101,20.1466
6,BRISK,ORB,132,30.2605
7,BRISK,ORB,144,14.2452
8,BRISK,ORB,137,15.0814
9,BRISK,ORB,133,15.2847
10,BRISK,ORB,137,11.4252
11,BRISK,ORB,130,11.6182
12,BRISK,ORB,160,13.098
13,BRISK,ORB,143,10.7689
14,BRISK,ORB,174,13.04
15,BRISK,ORB,173,12.2784
16,BRISK,ORB,163,11.6833
17,BRISK,ORB,117,8.66371
18,BRISK,ORB,144,12.3826
0,BRISK,FREAK,-,-
1,BRISK,FREAK,143,13.7968
2,BRISK,FREAK,183,20.0889
3,BRISK,FREAK,195,13.0592
4,BRISK,FREAK,148,15.0852
5,BRISK,FREAK,132,29.4411
6,BRISK,FREAK,162,13.7893
7,BRISK,FREAK,190,17.7298
8,BRISK,FREAK,164,16.1858
9,BRISK,FREAK,183,16.0579
10,BRISK,FREAK,191,12.7583
11,BRISK,FREAK,170,12.793
12,BRISK,FREAK,208,12.3502
13,BRISK,FREAK,198,12.4721
14,BRISK,FREAK,183,12.5085
15,BRISK,FREAK,191,13.5836
16,BRISK,FREAK,167,10.2219
17,BRISK,FREAK,164,9.59522
18,BRISK,FREAK,210,10.1301
0,BRISK,SIFT,-,-
1,BRISK,SIFT,222,12.6395
2,BRISK,SIFT,245,15.9422
3,BRISK,SIFT,293,16.4261
4,BRISK,SIFT,262,12.6366
5,BRISK,SIFT,224,26.7783
6,BRISK,SIFT,243,12.7768
7,BRISK,SIFT,274,13.3823
8,BRISK,SIFT,247,15.879
9,BRISK,SIFT,282,16.641
10,BRISK,SIFT,298,14.9163
11,BRISK,SIFT,254,13.6087
12,BRISK,SIFT,325,11.024
13,BRISK,SIFT,314,12.8976
14,BRISK,SIFT,294,10.3272
15,BRISK,SIFT,314,12.8298
16,BRISK,SIFT,281,10.7915
17,BRISK,SIFT,322,9.83463
18,BRISK,SIFT,349,10.3764
0,BRISK,AKAZE,-,-
1,BRISK,AKAZE,-,-
2,BRISK,AKAZE,-,-
3,BRISK,AKAZE,-,-
4,BRISK,AKAZE,-,-
5,BRISK,AKAZE,-,-
6,BRISK,AKAZE,-,-
7,BRISK,AKAZE,-,-
